TYPE
kern

GROUPS1
beh;alef-ar.fina;alef-ar.fina.short;behDotless-ar.fina;behDotless-ar.medi;behDotless-ar.medi.med;behDotless-ar.medi.high;behDotless-ar.medi.round;seen-ar.fina;seen-ar.fina.low;seen-ar.medi;seen-ar.medi.low;ain-ar.fina;ain-ar.medi;lam-ar.fina;lam-ar.fina.short;lam-ar.medi;lam-ar.medi.hah1;lam-ar.medi.hah1.round;lam-ar.medi.hah2;lam-ar.medi.hah2.round;lam-ar.medi.round;lam-ar.medi.round.short;lam-ar.medi.short;heh-ar.fina;heh-ar.medi;heh-ar.medi.round;seen_alefMaksura-ar.fina
@sad;@seen;-15
@sad;behDotless-ar.init;-21
@sad;behDotless-ar.medi;-24
@beh;@kaf;-5
@beh;noonghunna-ar.fina;-20
@yeh;@kaf;-36
@yeh;@seen;-36
@yeh;_c.ain.yeh;-20
@yeh;_c.feh.medi.meem;-36
@yeh;_c.hah.reh;-36
@yeh;ain-ar.init;-49
@yehbarree;@kaf;-21
@yehbarree;@seen;-32
@yehbarree;_c.ain.yeh;-5
@yehbarree;_c.feh.medi.reh;-24
@yehbarree;_c.hah.reh;-21
@yehbarree;_c.seen.meem;-18
@yehbarree;ain-ar.init;-25
hah-ar.fina;@kaf;-20
hah-ar.fina;fehDotless-ar.init.hah;11
hah-ar.medi;@kaf;-22
hah-ar.medi;fehDotless-ar.init.hah;11
meem-ar.fina;@kaf;-12
meem-ar.fina;@lam;-30
meem-ar.fina;behDotless-ar.init;-30
meem-ar.medi;@kaf;-5
meem-ar.medi;@lam;-25
meem-ar.medi;_c.ain.meem;13
meem-ar.medi;_c.feh.init.dal;15
meem-ar.medi;_c.feh.medi.meem;11
meem-ar.medi;_c.hah.reh;10
meem-ar.medi;_c.seen.meem;11
meem-ar.medi;behDotless-ar.init;-25
meem-ar.medi.round2;@kaf;-8
meem-ar.medi.round2;@lam;-22
meem-ar.medi.round2;_c.ain.meem;8
meem-ar.medi.round2;_c.feh.init.dal;9
meem-ar.medi.round2;_c.feh.medi.meem;7
meem-ar.medi.round2;_c.hah.reh;6
meem-ar.medi.round2;_c.seen.meem;7
noonghunna-ar.fina;@kaf;-30
noonghunna-ar.fina;@lam;-34
noonghunna-ar.fina;behDotless-ar.init;-34
noonghunna-ar.fina;behDotless-ar.medi;-34
qafDotless-ar.fina;@kaf;-7
qafDotless-ar.fina;_c.ain.meem;8
qafDotless-ar.fina;_c.feh.init.dal;9
qafDotless-ar.fina;_c.feh.medi.meem;7
qafDotless-ar.fina;_c.hah.reh;7
qafDotless-ar.fina;_c.seen.meem;7
reh-ar.fina;@kaf;-5
reh-ar.fina;@meem.alt;20
reh-ar.fina;_c.hah.reh;-9
reh-ar.fina;fehDotless-ar.init.yeh;11
waw-ar.fina;@lam;-10
waw-ar.fina;_c.feh.init.dal;22
waw-ar.fina;_c.feh.medi.meem;19
waw-ar.fina;_c.feh.medi.reh;19
waw-ar.fina;behDotless-ar.init;-10
